% Model:              negative index.PE and PM.mph
% Version:            COMSOL 4.4.0.248
% Date:               Jun 30 2014, 10:57
% Table:              Table 1 - Global Evaluation 1 (emw.S11)
% freq                                            S-parameter, 11 component (1)                     S-parameter, 21 component (1)
2.06E10                                           -0.11444851366042515+0.8058897780030414i          -0.5405696975573009-0.09263923088616297i
2.07E10                                           -0.10044797100325713+0.8107022476810146i          -0.5379050657279354-0.08213766069915497i
2.08E10                                           -0.08633770128726431+0.8151463901992616i          -0.5351429255379967-0.07178270933204035i
2.09E10                                           -0.07211571666855714+0.8192090207588483i          -0.5322919621814466-0.06156543704253951i
2.1E10                                            -0.05778811008160753+0.822879801004745i           -0.5293653689108078-0.05147359183393439i
2.11E10                                           -0.043353246922458843+0.826155894054551i          -0.5263743040404788-0.04148682998462474i
2.12E10                                           -0.028809376385091637+0.8290201979361543i         -0.5233312443610383-0.03158601814207917i
2.13E10                                           -0.014153166070078263+0.8314440966297594i         -0.5202512778395602-0.021746196524443075i
2.14E10                                           6.179076665312742E-4+0.8334103714489761i          -0.51714861618189-0.011931559050630071i
2.15E10                                           0.015511792999231513+0.8348760266421643i          -0.5140399373772258-0.0020996913417617685i
2.16E10                                           0.03053660510235228+0.8357873453776561i           -0.51094335808258+0.00780924807123413i
2.17E10                                           0.045702063046309305+0.8360665649843263i          -0.5078778808322434+0.01787810799493472i
2.18E10                                           0.06101494759595546+0.8356190739059859i           -0.5048552296082802+0.028213347347373408i
2.19E10                                           0.07648734900502492+0.8342295216694328i           -0.5018928936630983+0.03901444117230776i
2.2E10                                            0.09205100490638894+0.8316690927029353i           -0.49895935571447686+0.05053069593132633i
2.21E10                                           0.10766228263807757+0.8275422891495001i           -0.49596948965256404+0.06316536581696075i
2.22E10                                           0.1230013389101229+0.8211412439688983i            -0.49264333672367544+0.07760692021597324i
2.23E10                                           0.1373189743349466+0.8114041328551085i            -0.48823172690593736+0.09492670753878961i
2.24E10                                           0.14841529308328513+0.7967458900478297i           -0.4805468190514506+0.11669084533206146i
2.25E10                                           0.15039806708377096+0.7763589395837418i           -0.4637440973864472+0.14368405276443152i
2.26E10                                           0.13196512486052203+0.7582144010204539i           -0.426625996155703+0.1679470884472204i
2.27E10                                           0.0976567930609976+0.771282303579569i             -0.37382564615087593+0.1607211980107416i
2.28E10                                           0.09229627587497559+0.8153722711356153i           -0.34987897127630146+0.12237338236238285i
2.29E10                                           0.11788695581663466+0.8471706408338614i           -0.3566142326111737+0.09594814830077443i
2.3E10                                            0.14833688239769846+0.8605679752393882i           -0.36809071753839306+0.08741794332262512i
2.31E10                                           0.17534308639985377+0.8646489997427147i           -0.37610001660510994+0.08772905434394591i
2.32E10                                           0.19872875409254584+0.8647061368813698i           -0.3804921874053819+0.09162634975653212i
2.33E10                                           0.21949592888759933+0.8629428172034435i           -0.38227606740232395+0.09692835453474104i
2.34E10                                           0.23846625241647487+0.8602796612476352i           -0.3822771627488119+0.10272713689380918i
2.35E10                                           0.256186961932419+0.85709546648033i               -0.3810436843221668+0.10865278167616674i
2.36E10                                           0.2730128030654858+0.8535675858146827i            -0.3789343841536306+0.11453227825583037i
2.37E10                                           0.28917842503735786+0.8497725017743147i           -0.3761867000345826+0.12029530572747238i
2.38E10                                           0.3048363964359542+0.8457480776136255i            -0.3729565578833822+0.12590593489597526i
2.39E10                                           0.3200960384196131+0.841509816538389i             -0.36935670091405903+0.13135447528752808i
2.4E10                                            0.33503125841088854+0.8370652609320023i           -0.36546524925218915+0.1366347279486289i
2.41E10                                           0.3496949724989605+0.8324169912998026i            -0.361338677320455+0.14174785563844816i
2.42E10                                           0.3641266022499844+0.8275619788731536i            -0.3570183829827931+0.14669820069023665i
2.43E10                                           0.3783552027152808+0.8225028016150708i            -0.3525391255257777+0.15148856031973867i
2.44E10                                           0.3924014125565756+0.8172326368433696i            -0.34792075907177805+0.15612269811251966i
2.45E10                                           0.4062801226841451+0.8117560192057051i            -0.3431906878413963+0.1606019695165565i
2.46E10                                           0.4200104033427852+0.8060670506389506i            -0.33835810766751623+0.16493836009830473i
2.47E10                                           0.4335905771828558+0.800163496820595i             -0.33343748568737785+0.1691216030329839i
2.48E10                                           0.4470394861496868+0.7940518165943302i            -0.32844394609100297+0.17317081037926008i
2.49E10                                           0.4603534573502092+0.7877188785690606i            -0.3233762858416377+0.177073128370948i
2.5E10                                            0.4735384029806531+0.7811748819125756i            -0.3182534808156827+0.18083920043987275i
2.51E10                                           0.4866033302620543+0.7744147102346082i            -0.31307308232257636+0.18447372878457363i
2.52E10                                           0.49954490685065545+0.7674361723200973i           -0.30784201052735755+0.18797261746214206i
2.53E10                                           0.5123590620079996+0.760234749198127i             -0.30256684286515095+0.19133106331738026i
2.54E10                                           0.5250597460723879+0.7528238011101114i            -0.2972519678978725+0.19456942823616033i
2.55E10                                           0.5376393072059378+0.745189055013725i             -0.2918966619705581+0.19767282265938915i
2.56E10                                           0.5500971922550866+0.7373354047358014i            -0.28650855649042617+0.20064646798431623i
2.57E10                                           0.5624343317083131+0.7292615385248099i            -0.2810888537428013+0.2034910684730331i
